date,mean,month,name,year,bridge,bwidth,pp open,burning,elnino,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2015-09-01T00:00:00,285.5333252,9,Can Tho,2015,1,23.1,2,1,1,11.43457249,7,645.3,27.6,1838.95,59.1
2015-10-01T00:00:00,272.2000122,10,Can Tho,2015,1,23.1,2,1,1,11.43457249,7,231.4,28.3,1838.95,59.1
2015-11-01T00:00:00,262.3500061,11,Can Tho,2015,1,23.1,3,0,1,11.43457249,7,272.4,28,1838.95,59.1
2015-12-01T00:00:00,255.4454498,12,Can Tho,2015,1,23.1,3,0,1,11.43457249,7,48.6,27.8,1838.95,59.1
2016-01-01T00:00:00,250.7818146,1,Can Tho,2016,1,23.1,3,0,1,11.5674663,7,0.2,27.9,2048.3,60.35
2016-02-01T00:00:00,246.5454559,2,Can Tho,2016,1,23.1,3,1,1,11.5674663,7,2.1,27.3,2048.3,60.35
2016-03-01T00:00:00,258.33078,3,Can Tho,2016,1,23.1,3,1,1,11.5674663,7,0,28,2048.3,60.35
2016-04-01T00:00:00,264.75,4,Can Tho,2016,1,23.1,3,0,1,11.5674663,7,4,30.1,2048.3,60.35
2016-05-01T00:00:00,269.6714172,5,Can Tho,2016,1,23.1,3,0,0,11.5674663,7,161.4,29.9,2048.3,60.35
2016-06-01T00:00:00,,6,Can Tho,2016,1,23.1,3,0,0,11.5674663,7,230.8,28.3,2048.3,60.35
2016-07-01T00:00:00,272.4750061,7,Can Tho,2016,1,23.1,3,0,0,11.5674663,7,432.2,28.3,2048.3,60.35
2016-08-01T00:00:00,272.3499756,8,Can Tho,2016,1,23.1,3,1,0,11.5674663,7,271.9,28.4,2048.3,60.35
2016-09-01T00:00:00,274,9,Can Tho,2016,1,23.1,3,1,0,11.5674663,7,345,27.6,2048.3,60.35
2016-10-01T00:00:00,,10,Can Tho,2016,1,23.1,3,1,0,11.5674663,7,501.1,27,2048.3,60.35
2016-11-01T00:00:00,256.1600037,11,Can Tho,2016,1,23.1,3,0,0,11.5674663,7,183.6,27.9,2048.3,60.35
2016-12-01T00:00:00,247.4500122,12,Can Tho,2016,1,23.1,3,0,0,11.5674663,7,171.8,27.1,2048.3,60.35
2017-01-01T00:00:00,242.8000031,1,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,15.8,27.3,2439.35,65.7
2017-02-01T00:00:00,249.7250061,2,Can Tho,2017,1,23.1,3,1,0,13.73330131,9,54.3,27.1,2439.35,65.7
2017-03-01T00:00:00,251.8285675,3,Can Tho,2017,1,23.1,3,1,0,13.73330131,9,12.5,27.9,2439.35,65.7
2017-04-01T00:00:00,264.1749878,4,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,98.1,29.3,2439.35,65.7
2017-05-01T00:00:00,260.5499878,5,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,272.4,29,2439.35,65.7
2017-06-01T00:00:00,273.3500061,6,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,148.6,28.7,2439.35,65.7
2017-07-01T00:00:00,272,7,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,251.4,28,2439.35,65.7
2017-08-01T00:00:00,266.9400024,8,Can Tho,2017,1,23.1,3,1,0,13.73330131,9,383.1,27.7,2439.35,65.7
2017-09-01T00:00:00,264.9666748,9,Can Tho,2017,1,23.1,3,1,0,13.73330131,9,291.5,28.2,2439.35,65.7
2017-10-01T00:00:00,273.1000061,10,Can Tho,2017,1,23.1,3,1,0,13.73330131,9,453.8,27.5,2439.35,65.7
2017-11-01T00:00:00,250.1000061,11,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,121.3,27.7,2439.35,65.7
2017-12-01T00:00:00,248.3500061,12,Can Tho,2017,1,23.1,3,0,0,13.73330131,9,72.4,26.3,2439.35,65.7
2018-01-01T00:00:00,244.8999939,1,Can Tho,2018,1,23.1,3,0,0,15.35318849,10,42.5,26.7,2867.2,67.55
2018-02-01T00:00:00,247.2636414,2,Can Tho,2018,1,23.1,3,1,0,15.35318849,10,11.2,26.6,2867.2,67.55
2018-03-01T00:00:00,260.6363525,3,Can Tho,2018,1,23.1,3,1,0,15.35318849,10,0.2,28.1,2867.2,67.55
2018-04-01T00:00:00,270.9100037,4,Can Tho,2018,1,23.1,3,0,0,15.35318849,10,10.1,29.1,2867.2,67.55
2018-05-01T00:00:00,280.4799805,5,Can Tho,2018,1,23.1,3,0,0,15.35318849,10,219.8,29.3,2867.2,67.55
2018-06-01T00:00:00,274.8999939,6,Can Tho,2018,1,23.1,3,0,0,15.35318849,10,238.8,28.1,2867.2,67.55
2018-07-01T00:00:00,270,7,Can Tho,2018,1,23.1,3,0,0,15.35318849,10,522.9,27.5,2867.2,67.55
2018-08-01T00:00:00,272.9333496,8,Can Tho,2018,1,23.1,3,1,0,15.35318849,10,288.8,28,2867.2,67.55
2018-09-01T00:00:00,271.7000122,9,Can Tho,2018,1,23.1,3,1,1,15.35318849,10,293.7,27.6,2867.2,67.55
2018-10-01T00:00:00,269.8500061,10,Can Tho,2018,1,23.1,3,1,1,15.35318849,10,227.6,28.1,2867.2,67.55
2018-11-01T00:00:00,255.6333313,11,Can Tho,2018,1,23.1,3,0,1,15.35318849,10,104.5,28.1,2867.2,67.55
2018-12-01T00:00:00,246.1999969,12,Can Tho,2018,1,23.1,3,0,1,15.35318849,10,47.7,27.8,2867.2,67.55
2019-01-01T00:00:00,246.2100067,1,Can Tho,2019,1,23.1,3,0,1,17.16414658,11.11111111,149.3,27,,
2019-02-01T00:00:00,258.4076843,2,Can Tho,2019,1,23.1,3,1,1,17.16414658,11.11111111,0.8,27.4,,
