date,mean,month,name,year,bridge,bwidth,pcr,pp open,burning,elnino,provincelight,,
2010-08-01T00:00:00,-0.08499999344,8,Cao Lanh,2010,0,24.5,0.4763289891,2,1,0,7.623806644,,
2010-09-01T00:00:00,0.04250000417,9,Cao Lanh,2010,0,24.5,0.4763289891,2,1,0,7.623806644,,
2010-10-01T00:00:00,0.07999999821,10,Cao Lanh,2010,0,24.5,0.4763289891,2,1,0,7.623806644,,
2010-11-01T00:00:00,-0.02166666463,11,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
2010-12-01T00:00:00,0.0700000003,12,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
2011-01-01T00:00:00,0.0680000037,1,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-02-01T00:00:00,0.09444444627,2,Cao Lanh,2011,0,24.5,0.4763289891,2,1,0,6.451897956,,
2011-03-01T00:00:00,0.2080000043,3,Cao Lanh,2011,0,24.5,0.4763289891,2,1,0,6.451897956,,
2011-04-01T00:00:00,0.08600000292,4,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-05-01T00:00:00,0.1599999964,5,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-06-01T00:00:00,0.125,6,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-07-01T00:00:00,0.2150000036,7,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-08-01T00:00:00,0.05833333358,8,Cao Lanh,2011,0,24.5,0.4763289891,2,1,0,6.451897956,,
2011-09-01T00:00:00,0.05999999866,9,Cao Lanh,2011,0,24.5,0.4763289891,2,1,0,6.451897956,,
2011-10-01T00:00:00,0.1199999973,10,Cao Lanh,2011,0,24.5,0.4763289891,2,1,0,6.451897956,,
2011-11-01T00:00:00,0.01857142709,11,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2011-12-01T00:00:00,0.1887499988,12,Cao Lanh,2011,0,24.5,0.4763289891,2,0,0,6.451897956,,
2012-01-01T00:00:00,-0.5,1,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-02-01T00:00:00,-0.06199999899,2,Cao Lanh,2012,0,24.5,0.4763289891,2,1,0,6.036342901,,
2012-03-01T00:00:00,0.2349999994,3,Cao Lanh,2012,0,24.5,0.4763289891,2,1,0,6.036342901,,
2012-04-01T00:00:00,-0.09636363387,4,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-05-01T00:00:00,0.01250000112,5,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-06-01T00:00:00,0.04874999821,6,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-07-01T00:00:00,-0.1166666746,7,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-08-01T00:00:00,0.01399999857,8,Cao Lanh,2012,0,24.5,0.4763289891,2,1,0,6.036342901,,
2012-09-01T00:00:00,0.1000000015,9,Cao Lanh,2012,0,24.5,0.4763289891,2,1,0,6.036342901,,
2012-10-01T00:00:00,0.02333333157,10,Cao Lanh,2012,0,24.5,0.4763289891,2,1,0,6.036342901,,
2012-11-01T00:00:00,0.0159999989,11,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2012-12-01T00:00:00,-0.1266666651,12,Cao Lanh,2012,0,24.5,0.4763289891,2,0,0,6.036342901,,
2013-01-01T00:00:00,0.01000000071,1,Cao Lanh,2013,0,24.5,0.4763289891,2,0,0,7.109056995,,
2013-02-01T00:00:00,0.02999999747,2,Cao Lanh,2013,0,24.5,0.4763289891,2,1,0,7.109056995,,
2013-03-01T00:00:00,-0.01307692099,3,Cao Lanh,2013,0,24.5,0.4763289891,2,1,0,7.109056995,,
2013-04-01T00:00:00,-0.05666666478,4,Cao Lanh,2013,0,24.5,0.4763289891,2,0,0,7.109056995,,
2013-05-01T00:00:00,0.07500000298,5,Cao Lanh,2013,0,24.5,0.4763289891,2,0,0,7.109056995,,
2013-06-01T00:00:00,-9.31E-10,6,Cao Lanh,2013,0,24.5,0.4763289891,2,0,0,7.109056995,,
2013-07-01T00:00:00,-0.06500000507,7,Cao Lanh,2013,0,24.5,0.4763289891,2,0,0,7.109056995,,
