date,NO2,month,name,year,bridge,dmonth
2009-11-01T00:00:00,132,11,Vam Cong,2009,0,10
2009-11-01T00:00:00,139,11,Cao Lanh,2009,0,10
2009-11-01T00:00:00,214,11,My Loi,2009,0,10
2009-12-01T00:00:00,190,12,Can Tho,2009,0,11
2009-12-01T00:00:00,148,12,Co Chien,2009,0,11
2009-12-01T00:00:00,178,12,Ham Luong,2009,0,11
2009-12-01T00:00:00,220,12,Rach Mieu,2009,1,11
2009-12-01T00:00:00,195,12,My Thuan,2009,1,11
2009-12-01T00:00:00,163,12,Vam Cong,2009,0,11
2009-12-01T00:00:00,156,12,Cao Lanh,2009,0,11
2009-12-01T00:00:00,281,12,My Loi,2009,0,11
2010-01-01T00:00:00,146,1,Can Tho,2010,0,0
2010-01-01T00:00:00,125,1,Co Chien,2010,0,0
2010-01-01T00:00:00,133,1,Ham Luong,2010,0,0
2010-01-01T00:00:00,149,1,Rach Mieu,2010,1,0
2010-01-01T00:00:00,139,1,My Thuan,2010,1,0
2010-01-01T00:00:00,166,1,Vam Cong,2010,0,0
2010-01-01T00:00:00,133,1,Cao Lanh,2010,0,0
2010-01-01T00:00:00,197,1,My Loi,2010,0,0
2010-02-01T00:00:00,123,2,Can Tho,2010,0,1
2010-02-01T00:00:00,72,2,Co Chien,2010,0,1
2010-02-01T00:00:00,74,2,Ham Luong,2010,0,1
2010-02-01T00:00:00,103,2,Rach Mieu,2010,1,1
2010-02-01T00:00:00,113,2,My Thuan,2010,1,1
2010-02-01T00:00:00,165,2,Vam Cong,2010,0,1
2010-02-01T00:00:00,155,2,Cao Lanh,2010,0,1
2010-02-01T00:00:00,138,2,My Loi,2010,0,1
2010-03-01T00:00:00,220,3,Can Tho,2010,0,2
2010-03-01T00:00:00,135,3,Co Chien,2010,0,2
2010-03-01T00:00:00,148,3,Ham Luong,2010,0,2
2010-03-01T00:00:00,180,3,Rach Mieu,2010,1,2
2010-03-01T00:00:00,185,3,My Thuan,2010,1,2
2010-03-01T00:00:00,282,3,Vam Cong,2010,0,2
2010-03-01T00:00:00,256,3,Cao Lanh,2010,0,2
2010-03-01T00:00:00,187,3,My Loi,2010,0,2
2010-04-01T00:00:00,163,4,Can Tho,2010,1,3
2010-04-01T00:00:00,139,4,Co Chien,2010,0,3
2010-04-01T00:00:00,150,4,Ham Luong,2010,0,3
2010-04-01T00:00:00,173,4,Rach Mieu,2010,1,3
2010-04-01T00:00:00,152,4,My Thuan,2010,1,3
2010-04-01T00:00:00,204,4,Vam Cong,2010,0,3
2010-04-01T00:00:00,169,4,Cao Lanh,2010,0,3
2010-04-01T00:00:00,175,4,My Loi,2010,0,3
2010-05-01T00:00:00,148,5,Can Tho,2010,1,4
2010-05-01T00:00:00,144,5,Co Chien,2010,0,4
2010-05-01T00:00:00,135,5,Ham Luong,2010,0,4
2010-05-01T00:00:00,156,5,Rach Mieu,2010,1,4
2010-05-01T00:00:00,154,5,My Thuan,2010,1,4
2010-05-01T00:00:00,173,5,Vam Cong,2010,0,4
2010-05-01T00:00:00,152,5,Cao Lanh,2010,0,4
2010-05-01T00:00:00,200,5,My Loi,2010,0,4
2010-06-01T00:00:00,141,6,Can Tho,2010,1,5
2010-06-01T00:00:00,171,6,Co Chien,2010,0,5
2010-06-01T00:00:00,151,6,Ham Luong,2010,0,5
