date,mean,month,quarter,name,year,bridge,ferry
2011-02-01T00:00:00,427.0275697,2,1,Cao Lanh,2011,0,1
2011-03-01T00:00:00,239.7492812,3,1,Cao Lanh,2011,0,1
2011-04-01T00:00:00,447.7133915,4,2,Cao Lanh,2011,0,1
2011-05-01T00:00:00,200.0797101,5,2,Cao Lanh,2011,0,1
2011-06-01T00:00:00,263.6775544,6,2,Cao Lanh,2011,0,1
2011-07-01T00:00:00,269.8702135,7,3,Cao Lanh,2011,0,1
2011-08-01T00:00:00,265.2151982,8,3,Cao Lanh,2011,0,1
2011-09-01T00:00:00,391.9409548,9,3,Cao Lanh,2011,0,1
2011-10-01T00:00:00,288.8095882,10,4,Cao Lanh,2011,0,1
2011-11-01T00:00:00,227.9555719,11,4,Cao Lanh,2011,0,1
2011-12-01T00:00:00,261.1151043,12,4,Cao Lanh,2011,0,1
2012-01-01T00:00:00,181.7813223,1,1,Cao Lanh,2012,0,1
2012-02-01T00:00:00,312.0959401,2,1,Cao Lanh,2012,0,1
2012-03-01T00:00:00,445.1137066,3,1,Cao Lanh,2012,0,1
2012-04-01T00:00:00,283.8186655,4,2,Cao Lanh,2012,0,1
2012-05-01T00:00:00,276.2930769,5,2,Cao Lanh,2012,0,1
2012-06-01T00:00:00,383.9420382,6,2,Cao Lanh,2012,0,1
2012-07-01T00:00:00,349.643699,7,3,Cao Lanh,2012,0,1
2012-08-01T00:00:00,320.9807789,8,3,Cao Lanh,2012,0,1
2012-09-01T00:00:00,200.5811518,9,3,Cao Lanh,2012,0,1
2012-10-01T00:00:00,489.6913043,10,4,Cao Lanh,2012,0,1
2012-11-01T00:00:00,345.3575167,11,4,Cao Lanh,2012,0,1
2012-12-01T00:00:00,180.3202135,12,4,Cao Lanh,2012,0,1
2013-01-01T00:00:00,291.7685059,1,1,Cao Lanh,2013,0,1
2013-02-01T00:00:00,218.6603052,2,1,Cao Lanh,2013,0,1
2013-03-01T00:00:00,416.1836241,3,1,Cao Lanh,2013,0,1
2013-04-01T00:00:00,349.8888439,4,2,Cao Lanh,2013,0,1
2013-05-01T00:00:00,290.576485,5,2,Cao Lanh,2013,0,1
2013-06-01T00:00:00,373.013418,6,2,Cao Lanh,2013,0,1
2013-07-01T00:00:00,79,7,3,Cao Lanh,2013,0,1
2013-08-01T00:00:00,297.2572983,8,3,Cao Lanh,2013,0,1
2013-09-01T00:00:00,542.9455324,9,3,Cao Lanh,2013,0,1
2013-10-01T00:00:00,409.247331,10,4,Cao Lanh,2013,0,1
2013-11-01T00:00:00,155.9796011,11,4,Cao Lanh,2013,0,1
